ve.ubuntu.com/ubuntu jammy-updates/main amd64 libubsan1 amd64 12.1.0-2ubuntu1~22.04 [976 kB]
Get:288 http://archive.ubuntu.com/ubuntu jammy/universe amd64 llvm-14-dev amd64 1:14.0.0-1ubuntu1 [37.8 MB]
Get:289 http://archive.ubuntu.com/ubuntu jammy/universe amd64 llvm-dev amd64 1:14.0-55~exp2 [1656 B]
Get:290 http://archive.ubuntu.com/ubuntu jammy/main amd64 pkg-config amd64 0.29.2-1ubuntu3 [48.2 kB]
Get:291 http://archive.ubuntu.com/ubuntu jammy/universe amd64 qtchooser amd64 66-2build1 [24.7 kB]
Get:292 http://archive.ubuntu.com/ubuntu jammy/universe amd64 qdoc-qt5 amd64 5.15.3-1 [632 kB]
Get:293 http://archive.ubuntu.com/ubuntu jammy/universe amd64 qhelpgenerator-qt5 amd64 5.15.3-1 [60.7 kB]
Get:294 http://archive.ubuntu.com/ubuntu jammy/universe amd64 qt5-assistant amd64 5.15.3-1 [373 kB]
Get:295 http://archive.ubuntu.com/ubuntu jammy-updates/universe amd64 qt5-qmake-bin amd64 5.15.3+dfsg-2ubuntu0.2 [1126 kB]
Get:296 http://archive.ubuntu.com/ubuntu jammy-updates/universe amd64 qt5-qmake amd64 5.15.3+dfsg-2ubuntu0.2 [208 kB]
Get:297 http://archive.ubuntu.com/ubuntu jammy/universe amd64 qtattributionsscanner-qt5 amd64 5.15.3-1 [32.5 kB]
Get:298 http://archive.ubuntu.com/ubuntu jammy-updates/universe amd64 qtbase5-dev-tools amd64 5.15.3+dfsg-2ubuntu0.2 [819 kB]
Get:299 http://archive.ubuntu.com/ubuntu jammy-updates/universe amd64 qtbase5-dev amd64 5.15.3+dfsg-2ubuntu0.2 [1135 kB]
Get:300 http://archive.ubuntu.com/ubuntu jammy/universe amd64 qttools5-dev-tools amd64 5.15.3-1 [1129 kB]
Get:301 http://archive.ubuntu.com/ubuntu jammy/universe amd64 qttools5-dev amd64 5.15.3-1 [203 kB]
Get:302 http://archive.ubuntu.com/ubuntu jammy/universe amd64 systemtap-sdt-dev amd64 4.6-2 [17.6 kB]
Get:303 http://archive.ubuntu.com/ubuntu jammy/main amd64 libdb5.3-dev amd64 5.3.28+dfsg1-0.8ubuntu3 [830 kB]
Get:304 http://archive.ubuntu.com/ubuntu jammy/main amd64 libdb5.3++-dev amd64 5.3.28+dfsg1-0.8ubuntu3 [853 kB]
Get:305 http://archive.ubuntu.com/ubuntu jammy/main amd64 libdb++-dev amd64 1:5.3.21~exp1ubuntu4 [2286 B]
debconf: delaying package configuration, since apt-utils is not installed
Fetched 356 MB in 20s (18.1 MB/s)
Selecting previously unselected package libpython3.10-minimal:amd64.
(Reading database ... (Reading database ... 5%(Reading database ... 10%(Reading database ... 15%(Reading database ... 20%(Reading database ... 25%(Reading database ... 30%(Reading database ... 35%(Reading database ... 40%(Reading database ... 45%(Reading database ... 50%(Reading database ... 55%(Reading database ... 60%(Reading database ... 65%(Reading database ... 70%(Reading database ... 75%(Reading database ... 80%(Reading database ... 85%(Reading database ... 90%(Reading database ... 95%(Reading database ... 100%(Reading database ... 8352 files and directories currently installed.)
Preparing to unpack .../libpython3.10-minimal_3.10.6-1~22.04_amd64.deb ...
Unpacking libpython3.10-minimal:amd64 (3.10.6-1~22.04) ...
Selecting previously unselected package python3.10-minimal.
Preparing to unpack .../python3.10-minimal_3.10.6-1~22.04_amd64.deb ...
Unpacking python3.10-minimal (3.10.6-1~22.04) ...
Setting up libpython3.10-minimal:amd64 (3.10.6-1~22.04) ...
Setting up python3.10-minimal (3.10.6-1~22.04) ...
Selecting previously unselected package python3-minimal.
(Reading database ... (Reading database ... 5%(Reading database ... 10%(Reading database ... 15%(Reading database ... 20%(Reading database ... 25%(Reading database ... 30%(Reading database ... 35%(Reading database ... 40%(Reading database ... 45%(Reading database ... 50%(Reading database ... 55%(Reading database ... 60%(Reading database ... 65%(Reading database ... 70%(Reading database ... 75%(Reading database ... 80%(Reading database ... 85%(Reading database ... 90%(Reading database ... 95%(Reading database ... 100%(Reading database ... 8646 files and directories currently installed.)
Preparing to unpack .../0-python3-minimal_3.10.6-1~22.04_amd64.deb ...
Unpacking python3-minimal (3.10.6-1~22.04) ...
Selecting previously unselected package media-types.
Preparing to unpack .../1-media-types_7.0.0_all.deb ...
Unpacking media-types (7.0.0) ...
Selecting previously unselected package libmpdec3:amd64.
Preparing to unpack .../2-libmpdec3_2.5.1-2build2_amd64.deb ...
Unpacking libmpdec3:amd64 (2.5.1-2build2) ...
Selecting previously unselected package readline-common.
Preparing to unpack .../3-readline-common_8.1.2-1_all.deb ...
Unpacking readline-common (8.1.2-1) ...
Selecting previously unselected package libreadline8:amd64.
Preparing to unpack .../4-libreadline8_8.1.2-1_amd64.deb ...
Unpacking libreadline8:amd64 (8.1.2-1) ...
Selecting previously unselected package libsqlite3-0:amd64.
Preparing to unpack .../5-libsqlite3-0_3.37.2-2_amd64.deb ...
Unpacking libsqlite3-0:amd64 (3.37.2-2) ...
Selecting previously unselected package libpython3.10-stdlib:amd64.
Preparing to unpack .../6-libpython3.10-stdlib_3.10.6-1~22.04_amd64.deb ...
Unpacking libpython3.10-stdlib:amd64 (3.10.6-1~22.04) ...
Selecting previously unselected package python3.10.
Preparing to unpack .../7-python3.10_3.10.6-1~22.04_amd64.deb ...
Unpacking python3.10 (3.10.6-1~22.04) ...
Selecting previously unselected package libpython3-stdlib:amd64.
Preparing to unpack .../8-libpython3-stdlib_3.10.6-1~22.04_amd64.deb ...
Unpacking libpython3-stdlib:amd64 (3.10.6-1~22.04) ...
Setting up python3-minimal (3.10.6-1~22.04) ...
Selecting previously unselected package python3.
(Reading database ... (Reading database ... 5%(Reading database ... 10%(Reading database ... 15%(Reading database ... 20%(Reading database ... 25%(Reading database ... 30%(Reading database ... 35%(Reading database ... 40%(Reading database ... 45%(Reading database ... 50%(Reading database ... 55%(Reading database ... 60%(Reading database ... 65%(Reading database ... 70%(Reading database ... 75%(Reading database ... 80%(Reading database ... 85%(Reading database ... 90%(Reading database ... 95%(Reading database ... 100%(Reading database ... 9075 files and directories currently installed.)
Preparing to unpack .../000-python3_3.10.6-1~22.04_amd64.deb ...
Unpacking python3 (3.10.6-1~22.04) ...
Selecting previously unselected package libpopt0:amd64.
Preparing to unpack .../001-libpopt0_1.18-3build1_amd64.deb ...
Unpacking libpopt0:amd64 (1.18-3build1) ...
Selecting previously unselected package rsync.
Preparing to unpack .../002-rsync_3.2.3-8ubuntu3_amd64.deb ...
Unpacking rsync (3.2.3-8ubuntu3) ...
Selecting previously unselected package libglib2.0-0:amd64.
Preparing to unpack .../003-libglib2.0-0_2.72.1-1_amd64.deb ...
Unpacking libglib2.0-0:amd64 (2.72.1-1) ...
Selecting previously unselected package libelf1:amd64.
Preparing to unpack .../004-libelf1_0.186-1build1_amd64.deb ...
Unpacking libelf1:amd64 (0.186-1build1) ...
Selecting previously unselected package libdw1:amd64.
Preparing to unpack .../005-libdw1_0.186-1build1_amd64.deb ...
Unpacking libdw1:amd64 (0.186-1build1) ...
Selecting previously unselected package libunwind8:amd64.
Preparing to unpack .../006-libunwind8_1.3.2-2build2_amd64.deb ...
Unpacking libunwind8:amd64 (1.3.2-2build2) ...
Selecting previously unselected package libcap2-bin.
Preparing to unpack .../007-libcap2-bin_1%3a2.44-1build3_amd64.deb ...
Unpacking libcap2-bin (1:2.44-1build3) ...
Selecting previously unselected package libgstreamer1.0-0:amd64.
Preparing to unpack .../008-libgstreamer1.0-0_1.20.3-0ubuntu1_amd64.deb ...
Unpacking libgstreamer1.0-0:amd64 (1.20.3-0ubuntu1) ...
Selecting previously unselected package liborc-0.4-0:amd64.
Preparing to unpack .../009-liborc-0.4-0_1%3a0.4.32-2_amd64.deb ...
Unpacking liborc-0.4-0:amd64 (1:0.4.32-2) ...
Selecting previously unselected package iso-codes.
Preparing to unpack .../010-iso-codes_4.9.0-1_all.deb ...
Unpacking iso-codes (4.9.0-1) ...
